wall_time,step_count,fz
1769245168.961499,0,2.1398873329162598
1769245169.34686,3,2.1349642276763916
1769245169.4773977,6,-12.708234786987305
1769245169.602389,9,-10.41925048828125
1769245169.727409,12,-8.578085899353027
1769245169.852403,15,-11.783350944519043
1769245169.9774067,18,-9.032218933105469
1769245170.1027074,21,-9.78912353515625
1769245170.2277257,24,-8.876489639282227
1769245170.352858,27,-10.52496337890625
1769245170.4778662,30,-9.269177436828613
1769245170.6028576,33,-10.413579940795898
1769245170.727908,36,-7.927507400512695
1769245170.8528843,39,-11.429633140563965
1769245170.9779315,42,-8.840940475463867
1769245171.1030416,45,-9.689797401428223
1769245171.2280262,48,-8.281810760498047
1769245171.3530266,51,-10.799680709838867
1769245171.4780374,54,-8.999496459960938
1769245171.6030433,57,-11.285260200500488
1769245171.7281406,60,-9.02836799621582
1769245171.8531,63,-11.14600658416748
1769245171.9780598,66,-8.354552268981934
1769245172.1031072,69,-11.006073951721191
1769245172.2280867,72,-9.71102237701416
1769245172.353096,75,-10.222973823547363
1769245172.4780886,78,-7.197707176208496
1769245172.6030836,81,-11.501592636108398
1769245172.7281046,84,-0.7563371658325195
1769245172.8531034,87,2.467315435409546
1769245172.9781158,90,4.828571796417236
1769245173.1031466,93,-5.214718341827393
1769245173.2281344,96,-5.1959638595581055
1769245173.3531322,99,6.77793550491333
1769245173.4781368,102,-18.5047607421875
1769245173.6031637,105,-14.419706344604492
1769245173.7281444,108,-16.41507911682129
1769245173.8531659,111,-11.84309196472168
1769245173.9781716,114,-12.263440132141113
1769245174.1036744,117,-10.598973274230957
1769245174.2287009,120,-11.035058975219727
1769245174.353664,123,-12.114291191101074
1769245174.478677,126,-7.914065361022949
1769245174.6036766,129,-10.228021621704102
1769245174.728691,132,-8.649712562561035
1769245174.8537579,135,-10.864167213439941
1769245174.9787023,138,-7.9421820640563965
1769245175.103703,141,-10.475031852722168
1769245175.2287126,144,-8.714183807373047
1769245175.3537076,147,-10.496112823486328
1769245175.478743,150,-7.067793846130371
1769245175.6037097,153,-11.254156112670898
1769245175.728743,156,-8.018590927124023
1769245175.8537412,159,-11.578269004821777
1769245175.9787529,162,-9.18089485168457
1769245176.1037538,165,-10.567309379577637
1769245176.2287652,168,-9.812332153320312
1769245176.353768,171,-11.593423843383789
1769245176.478775,174,-8.507713317871094
1769245176.6037717,177,-12.160188674926758
1769245176.7287967,180,-8.708325386047363
1769245176.8537753,183,-11.84977912902832
1769245176.9787955,186,-9.36019229888916
1769245177.1037998,189,-10.900724411010742
1769245177.2288249,192,-8.635594367980957
1769245177.3538108,195,-12.040849685668945
1769245177.4788108,198,-8.755754470825195
1769245177.6038127,201,-11.957277297973633
1769245177.7288268,204,-8.645468711853027
1769245177.853882,207,-11.983858108520508
1769245177.9788451,210,-8.072359085083008
1769245178.1038322,213,-12.370579719543457
1769245178.2288687,216,-9.547784805297852
1769245178.3565304,219,-13.247304916381836
1769245178.4843879,222,-8.687005043029785
1769245178.6085727,225,-13.362462997436523
1769245178.7344785,228,-8.473823547363281
1769245178.8596337,231,-13.077805519104004
1769245178.984443,234,-7.6380615234375
1769245179.1094956,237,-12.19921875
1769245179.2337675,240,-8.748078346252441
1769245179.3594,243,-13.557126998901367
1769245179.4842765,246,-8.326425552368164
1769245179.6093643,249,-12.218029022216797
1769245179.734491,252,-7.674444198608398
1769245179.8593266,255,-13.131104469299316
1769245179.984518,258,-8.224921226501465
1769245180.1093135,261,-12.45544719696045
1769245180.2338204,264,-5.832262992858887
1769245180.3594167,267,-11.011847496032715
1769245180.4844027,270,-5.121809482574463
1769245180.6094012,273,-10.842452049255371
1769245180.7343636,276,-9.27811336517334
1769245180.8597097,279,-11.469795227050781
1769245180.9844499,282,-9.72314739227295
1769245181.109426,285,-10.793572425842285
1769245181.2344582,288,-6.465953350067139
1769245181.3593895,291,-10.21513557434082
1769245181.484433,294,-7.293200969696045
1769245181.609435,297,-10.897858619689941
1769245181.7344341,300,-8.732775688171387
1769245181.85938,303,-10.48188591003418
1769245181.9847288,306,-9.762847900390625
1769245182.1094086,309,-11.613500595092773
1769245182.2343783,312,-8.184826850891113
1769245182.3594723,315,-10.55579948425293
1769245182.4839182,318,-7.288887977600098
1769245182.6094234,321,-9.927315711975098
1769245182.7344096,324,-8.404234886169434
1769245182.8594441,327,-9.991314888000488
1769245182.9844763,330,-9.92492961883545
1769245183.109498,333,-9.18375015258789
1769245183.2347271,336,-8.11552619934082
1769245183.3595147,339,-9.654670715332031
1769245183.4845488,342,-9.262646675109863
1769245183.6094875,345,-9.566253662109375
1769245183.7345798,348,-10.648446083068848
1769245183.8599389,351,-10.069280624389648
1769245183.9844944,354,-9.042152404785156
1769245184.1095316,357,-9.919880867004395
1769245184.2346132,360,-9.029281616210938
1769245184.359534,363,-9.58447265625
1769245184.4846528,366,-11.20429515838623
1769245184.6095695,369,-10.187156677246094
1769245184.7347615,372,-8.914070129394531
1769245184.8596034,375,-10.813613891601562
1769245184.984672,378,-8.977421760559082
1769245185.109617,381,-9.107389450073242
1769245185.2346425,384,-12.302611351013184
1769245185.3596678,387,-10.230344772338867
1769245185.4845822,390,-9.697431564331055
1769245185.6097982,393,-9.521220207214355
1769245185.7346776,396,-10.340484619140625
1769245185.8599777,399,-9.693002700805664
1769245185.984703,402,-11.122928619384766
1769245186.109675,405,-9.568644523620605
1769245186.23477,408,-11.03028678894043
1769245186.3595953,411,-8.735580444335938
1769245186.484674,414,-10.830931663513184
1769245186.6100047,417,-9.462501525878906
1769245186.7346387,420,-10.74722957611084
1769245186.8598409,423,-10.921258926391602
1769245186.9847531,426,-8.423739433288574
1769245187.10971,429,-9.501787185668945
1769245187.234834,432,-10.34811019897461
1769245187.359692,435,-9.804689407348633
1769245187.4846096,438,-11.147103309631348
1769245187.610199,441,-10.43880844116211
1769245187.7351184,444,-10.10213851928711
1769245187.8600926,447,-10.051986694335938
1769245187.9856007,450,-9.727543830871582
1769245188.1103616,453,-9.96186637878418
1769245188.23581,456,-10.204818725585938
1769245188.3605876,459,-10.117105484008789
1769245188.485411,462,-9.902920722961426
1769245188.610265,465,-9.567817687988281
1769245188.735682,468,-10.783565521240234
1769245188.860242,471,-8.667927742004395
1769245188.9852967,474,-10.626867294311523
1769245189.110196,477,-9.863542556762695
1769245189.2359126,480,-10.15506362915039
1769245189.3605618,483,-9.187251091003418
1769245189.4852574,486,-10.933706283569336
1769245189.6106715,489,-11.079975128173828
1769245189.7358422,492,-9.686689376831055
1769245189.8608177,495,-7.3814592361450195
1769245189.9851239,498,-10.726747512817383
1769245190.1099076,501,-8.787302017211914
1769245190.2355037,504,-10.726343154907227
1769245190.3605316,507,-9.91751766204834
1769245190.4847956,510,-9.845885276794434
1769245190.610377,513,-8.710949897766113
1769245190.7352571,516,-11.117297172546387
1769245190.8604004,519,-8.509185791015625
1769245190.9852026,522,-10.055590629577637
1769245191.1102061,525,-10.809148788452148
1769245191.2351995,528,-9.89706802368164
1769245191.3602288,531,-9.098616600036621
1769245191.4853163,534,-10.430868148803711
1769245191.610769,537,-7.904320240020752
1769245191.7352426,540,-10.564281463623047
1769245191.8602705,543,-9.67600154876709
1769245191.9852552,546,-9.3485746383667
1769245192.1102543,549,-8.580646514892578
1769245192.2352784,552,-11.023344039916992
1769245192.360375,555,-8.747560501098633
1769245192.6177723,558,-8.713022232055664
1769245192.7430954,561,-6.953182220458984
1769245192.8683739,564,-12.080642700195312
1769245192.9984143,567,-9.778273582458496
1769245193.1245983,570,-10.450812339782715
1769245193.2498503,573,-9.496217727661133
1769245193.3749793,576,-10.199084281921387
1769245193.500011,579,-8.388509750366211
1769245193.6260016,582,-11.650538444519043
1769245193.7518523,585,-9.638492584228516
1769245193.8884096,588,-10.439430236816406
1769245194.0133092,591,-8.953109741210938
1769245194.138831,594,-9.644536018371582
1769245194.2637808,597,-11.138761520385742
1769245194.3889272,600,-9.681075096130371
1769245194.5137243,603,-12.246295928955078
1769245194.6387942,606,-9.452727317810059
1769245194.763818,609,-11.0011625289917
1769245194.888931,612,-9.419301986694336
1769245195.0138624,615,-10.547245979309082
1769245195.1387186,618,-9.482439994812012
1769245195.2638729,621,-9.105000495910645
1769245195.3888395,624,-9.823488235473633
1769245195.5156631,627,-9.075757026672363
1769245195.6398482,630,-8.6306791305542
1769245195.7648265,633,-9.81210994720459
1769245195.8897877,636,-8.053937911987305
1769245196.0149286,639,-7.378276348114014
1769245196.1398716,642,-9.126616477966309
1769245196.2648277,645,-9.583050727844238
1769245196.38986,648,-7.530287265777588
1769245196.5156913,651,-5.674075126647949
1769245196.640194,654,-9.238041877746582
1769245196.765083,657,-13.130492210388184
1769245196.8904588,660,-6.89207649230957
1769245197.014993,663,-9.03337574005127
1769245197.140046,666,-8.520780563354492
1769245197.2652752,669,-11.820540428161621
1769245197.3901818,672,-7.87026309967041
1769245197.515828,675,-9.450272560119629
1769245197.6402304,678,-8.76268196105957
1769245197.765096,681,-10.252822875976562
1769245197.890047,684,-9.394022941589355
1769245198.0149956,687,-12.685639381408691
1769245198.1403544,690,-8.656920433044434
1769245198.2657132,693,-10.168869018554688
1769245198.3906643,696,-10.49491024017334
1769245198.5151227,699,-11.98570728302002
1769245198.6412349,702,-9.391596794128418
1769245198.7653804,705,-11.07468032836914
1769245198.890532,708,-9.982688903808594
1769245199.0151901,711,-7.180129528045654
1769245199.14015,714,-9.514555931091309
1769245199.2654412,717,-12.918192863464355
1769245199.3901813,720,-9.22706413269043
1769245199.5150657,723,-9.49792194366455
1769245199.6406562,726,-9.828986167907715
1769245199.765201,729,-12.01791763305664
1769245199.8900924,732,-8.534178733825684
1769245200.015306,735,-10.415535926818848
1769245200.1402094,738,-9.334033966064453
1769245200.2652218,741,-11.668904304504395
1769245200.3901384,744,-6.43979024887085
1769245200.5152855,747,-11.862180709838867
1769245200.6407363,750,-8.918818473815918
1769245200.7699428,753,-10.591300964355469
1769245200.8949316,756,-9.443856239318848
1769245201.0199444,759,-10.323746681213379
1769245201.1449594,762,-9.920994758605957
1769245201.2701023,765,-10.700757026672363
1769245201.3949692,768,-9.914610862731934
1769245201.5199816,771,-10.85843563079834
1769245201.6450026,774,-9.364702224731445
1769245201.7699833,777,-9.811726570129395
1769245201.8949995,780,-10.537898063659668
1769245202.0200021,783,-8.179298400878906
1769245202.1450272,786,-11.32546615600586
1769245202.27001,789,-10.863399505615234
1769245202.3950396,792,-9.86970043182373
1769245202.520478,795,-10.023043632507324
1769245202.6450489,798,-10.482690811157227
1769245202.7700462,801,-9.917699813842773
1769245202.8950574,804,-8.639849662780762
1769245203.0200667,807,-11.137381553649902
