wall_time,step_count,fz
1769244942.0949113,0,0.17170418798923492
1769244942.474279,3,0.16063885390758514
1769244942.6006162,6,-5.567174911499023
1769244942.7258697,9,-12.123172760009766
1769244942.8506134,12,-10.156851768493652
1769244942.9755886,15,-10.599292755126953
1769244943.100703,18,-10.400718688964844
1769244943.2256138,21,-10.658937454223633
1769244943.350662,24,-9.232583045959473
1769244943.475825,27,-9.843629837036133
1769244943.6006706,30,-10.540851593017578
1769244943.725727,33,-10.508554458618164
1769244943.8506882,36,-8.936189651489258
1769244943.975828,39,-10.156766891479492
1769244944.100737,42,-10.901796340942383
1769244944.2257352,45,-10.748526573181152
1769244944.3507009,48,-9.281820297241211
1769244944.4765577,51,-9.25002670288086
1769244944.6008143,54,-10.379390716552734
1769244944.725845,57,-10.593172073364258
1769244944.850896,60,-9.526845932006836
1769244944.9762495,63,-8.534113883972168
1769244945.101133,66,-11.041993141174316
1769244945.2260804,69,-8.046136856079102
1769244945.3510692,72,-12.162820816040039
1769244945.4762442,75,-10.4795503616333
1769244945.602106,78,-10.033602714538574
1769244945.7261717,81,-8.581954002380371
1769244945.850951,84,-10.820671081542969
1769244945.9760032,87,-9.665437698364258
1769244946.1011708,90,-9.378422737121582
1769244946.226691,93,-10.391956329345703
1769244946.3510742,96,-9.815386772155762
1769244946.4766283,99,-9.5827054977417
1769244946.601168,102,-10.528494834899902
1769244946.7261415,105,-10.397269248962402
1769244946.8509505,108,-9.550127029418945
1769244946.9760425,111,-10.0343656539917
1769244947.1013174,114,-9.940974235534668
1769244947.226901,117,-9.897377967834473
1769244947.3519516,120,-10.230134963989258
1769244947.4769604,123,-10.01956844329834
1769244947.6019316,126,-9.891563415527344
1769244947.726981,129,-9.913773536682129
1769244947.8520043,132,-10.666266441345215
1769244947.9769685,135,-10.252754211425781
1769244948.1019208,138,-9.535751342773438
1769244948.226937,141,-9.749573707580566
1769244948.3519495,144,-10.158024787902832
1769244948.4770033,147,-10.091384887695312
1769244948.60212,150,-9.974663734436035
1769244948.7269585,153,-9.793595314025879
1769244948.8520367,156,-10.58938980102539
1769244948.977104,159,-9.639901161193848
1769244949.1020317,162,-10.808022499084473
1769244949.22702,165,-9.5706205368042
1769244949.3520439,168,-9.94584846496582
1769244949.4770765,171,-10.030688285827637
1769244949.6020327,174,-10.230934143066406
1769244949.7270257,177,-9.48170280456543
1769244949.8520281,180,-10.199223518371582
1769244949.9770682,183,-9.42679500579834
1769244950.1021726,186,-10.320838928222656
1769244950.2271004,189,-9.928714752197266
1769244950.3521204,192,-9.453911781311035
1769244950.477112,195,-9.563814163208008
1769244950.6020792,198,-10.346999168395996
1769244950.7271078,201,-10.097400665283203
1769244950.8520908,204,-9.15203857421875
1769244950.9771197,207,-9.836061477661133
1769244951.1022139,210,-10.068840980529785
1769244951.2271404,213,-9.625015258789062
1769244951.3521423,216,-10.0316743850708
1769244951.4772217,219,-9.60599422454834
1769244951.6023104,222,-10.28602123260498
1769244951.7271812,225,-9.59040641784668
1769244951.8521385,228,-9.263300895690918
1769244951.9771643,231,-9.794341087341309
1769244952.1021686,234,-9.067473411560059
1769244952.2272067,237,-9.264695167541504
1769244952.352162,240,-9.219982147216797
1769244952.4771872,243,-9.917391777038574
1769244952.6022356,246,-9.545870780944824
1769244952.727186,249,-10.08487606048584
1769244952.8521936,252,-11.610013961791992
1769244952.9772334,255,-8.26066780090332
1769244953.1021683,258,-11.09980297088623
1769244953.2272182,261,-10.93466854095459
1769244953.352234,264,-10.846814155578613
1769244953.4772263,267,-8.368241310119629
1769244953.6022453,270,-11.877771377563477
1769244953.7272434,273,-9.78964614868164
1769244953.8522782,276,-9.255912780761719
1769244953.9772522,279,-10.000347137451172
1769244954.1022775,282,-11.341351509094238
1769244954.2272968,285,-9.33560562133789
1769244954.3522322,288,-11.300433158874512
1769244954.4773424,291,-9.48443603515625
1769244954.6023412,294,-9.161783218383789
1769244954.7273269,297,-10.876616477966309
1769244954.852313,300,-9.616171836853027
1769244954.9773338,303,-9.035087585449219
1769244955.1028798,306,-12.080878257751465
1769244955.227481,309,-9.810999870300293
1769244955.3523467,312,-9.062292098999023
1769244955.477372,315,-11.106589317321777
1769244955.6023476,318,-10.9322509765625
1769244955.7273335,321,-8.670052528381348
1769244955.852376,324,-10.764298439025879
1769244955.9773595,327,-9.27394962310791
1769244956.1024437,330,-10.195466995239258
1769244956.2283695,333,-10.11912727355957
1769244956.3533785,336,-10.033711433410645
1769244956.4784584,339,-9.771162986755371
1769244956.6034548,342,-10.778538703918457
1769244956.7284422,345,-9.421710014343262
1769244956.8534548,348,-10.388596534729004
1769244956.9784713,351,-9.95572566986084
1769244957.1034899,354,-9.864103317260742
1769244957.2284417,357,-9.575789451599121
1769244957.3534453,360,-10.503640174865723
1769244957.4784791,363,-9.261181831359863
1769244957.6035469,366,-10.521903991699219
