wall_time,step_count,fz
1769244650.2359421,0,0.29190096259117126
1769244650.601177,3,0.2967143654823303
1769244650.7305393,6,-4.445835590362549
1769244650.8555589,9,-6.205190181732178
1769244650.9805734,12,-4.7831621170043945
1769244651.113625,15,-4.868661403656006
1769244651.238661,18,-5.3961029052734375
1769244651.363658,21,-5.905625343322754
1769244651.4890194,24,-5.359062194824219
1769244651.6139555,27,-4.345161437988281
1769244651.7388935,30,-6.075011730194092
1769244651.8639128,33,-6.203627586364746
1769244651.988965,36,-4.252361297607422
1769244652.1139503,39,-3.7063493728637695
1769244652.2389805,42,-5.935672283172607
1769244652.3639708,45,-6.185722827911377
1769244652.4890566,48,-4.5618414878845215
1769244652.6139748,51,-3.2596418857574463
1769244652.7390337,54,-6.4617390632629395
1769244652.8640213,57,-6.46588659286499
1769244652.990857,60,-4.509572982788086
1769244653.1155646,63,-3.0483198165893555
1769244653.2406588,66,-5.707088947296143
1769244653.3656976,69,-6.332785606384277
1769244653.4915469,72,-4.697812557220459
1769244653.6156147,75,-3.7674548625946045
1769244653.7406194,78,-5.8050537109375
1769244653.8658528,81,-5.911910533905029
1769244653.990966,84,-4.771876335144043
1769244654.1157103,87,-4.97757625579834
1769244654.2407072,90,-5.5688300132751465
1769244654.3656683,93,-4.401020050048828
1769244654.490814,96,-5.673618316650391
1769244654.616658,99,-5.1049113273620605
1769244654.7430098,102,-5.76877498626709
1769244654.8678942,105,-4.272799015045166
1769244654.992958,108,-6.167513847351074
1769244655.117916,111,-6.159097194671631
1769244655.2430642,114,-4.983071804046631
1769244655.3679304,117,-3.9954841136932373
1769244655.4930265,120,-5.498654365539551
1769244655.6179297,123,-6.437750816345215
1769244655.7429552,126,-4.1358747482299805
1769244655.8679643,129,-4.2602949142456055
1769244655.9929693,132,-5.902172088623047
1769244656.117978,135,-6.5623064041137695
1769244656.2429762,138,-4.899610996246338
1769244656.367998,141,-4.464474201202393
1769244656.4930015,144,-5.4162187576293945
1769244656.617994,147,-6.128941535949707
1769244656.7430758,150,-4.365609169006348
1769244656.8680007,153,-4.189896583557129
1769244656.993026,156,-5.018331050872803
1769244657.1180205,159,-5.3833441734313965
1769244657.2431612,162,-4.197963714599609
1769244657.3680465,165,-6.23941707611084
1769244657.4930599,168,-4.052059173583984
1769244657.6180592,171,-4.549226760864258
1769244657.7430658,174,-4.976089000701904
1769244657.868061,177,-5.738735198974609
1769244657.9930818,180,-5.0058207511901855
1769244658.118077,183,-4.07072639465332
1769244658.2430925,186,-5.793335437774658
1769244658.368084,189,-5.83615255355835
1769244658.4931622,192,-4.555416107177734
1769244658.6181085,195,-3.6060194969177246
1769244658.743108,198,-5.7094950675964355
1769244658.8681118,201,-5.11450719833374
1769244658.993126,204,-4.982473850250244
1769244659.1181364,207,-3.6420693397521973
1769244659.243136,210,-5.465002059936523
1769244659.368124,213,-4.4097089767456055
1769244659.493158,216,-5.758476734161377
1769244659.618149,219,-3.182250738143921
1769244659.7431686,222,-6.754891872406006
1769244659.8681564,225,-4.80355167388916
1769244659.993163,228,-5.257607460021973
1769244660.118175,231,-3.284986972808838
1769244660.2431898,234,-6.2321457862854
1769244660.3681846,237,-3.898231029510498
