wall_time,step_count,fz
1769245025.199491,0,0.26194724440574646
1769245025.570684,3,0.2371261864900589
1769245025.7036877,6,-2.47761869430542
1769245025.8291156,9,-17.387317657470703
1769245025.9537826,12,-35.59782791137695
1769245026.0790524,15,-15.133009910583496
1769245026.204587,18,-38.69942092895508
1769245026.3290653,21,-50.47990417480469
1769245026.4537234,24,-67.10101318359375
1769245026.5791185,27,-53.26833724975586
1769245026.7039292,30,-72.47602844238281
1769245026.8296044,33,-66.14734649658203
1769245026.9583035,36,-86.0870590209961
1769245027.0833275,39,-73.38339233398438
1769245027.208314,42,-87.84608459472656
1769245027.3333137,45,-76.87528228759766
1769245027.4585052,48,-89.32962036132812
1769245027.5835435,51,-75.17740631103516
1769245027.7085369,54,-53.76435470581055
1769245027.833621,57,-25.398706436157227
1769245027.9590507,60,-41.233978271484375
1769245028.0840318,63,-32.48509216308594
1769245028.2090416,66,-33.8260383605957
1769245028.3340564,69,-18.447845458984375
1769245028.4590633,72,-25.895610809326172
1769245028.5840654,75,-8.663226127624512
1769245028.709059,78,-15.370058059692383
1769245028.8340726,81,-29.120145797729492
1769245028.9590836,84,-42.267295837402344
1769245029.0841093,87,-12.411773681640625
1769245029.2091026,90,-24.09823226928711
1769245029.334186,93,-49.089603424072266
1769245029.4591248,96,-60.124176025390625
